Japanese,English
ウェビナーコンテンツ活用,Utilization of webinar content
リードフォロー・提案・受注,"Lead follow-up, proposal, and order"
　ウェビナー開催,Webinar hosting
基本プラン以外に気になったサービスはございますか？,Are there any services other than the basic plan that interest you?
ウェビナー開催,Webinar hosting
(ビジター orマジセミ倶楽部),(Visitor or Majisemi Club)
"貴社
インサイドセールス","Your Company
Inside Sales"
"または
フィールドセールス","or
Field Sales"
営業代行,Sales outsourcing
(提案・受注),(Proposal and order)
(マジ営業),(Maji Sales)
"ウェビナー
直後のフォロー",Follow-up immediately after the webinar
(マジフォロ),(Maji Follow)
貴社保有リード,Your company-owned leads
（課金対象外）,(Not subject to charge)
見逃し,Missed
配信,Distribution
SEO記事,SEO article
作成,Creation
フル動画,Full video
提供/無料,Provided/Free
再放送,Rebroadcast
2ステップ,2-step
ウェビナー,Webinar
展示会,Exhibition
共同出展,Joint exhibition
講演原稿・資料,Presentation script/materials
作成代行,Content creation agency
AIによる講演代行,AI-powered presentation agency
サマリ,Summary
提供/２次利用,Provided/Secondary use
枠限定,Limited slots
先着順,"First-come, first-served"
多くの企業が,Many companies
活用されます,Will be utilized
新サービス,New service
SEO動画作成,SEO video creation
マジセミ倶楽部か？ビジターか？,Majisemi Club or visitor?
ご請求,Billing
"30名×14,500円","30 participants × 14,500 JPY"
"=435,000円（税別）","= 435,000 JPY (tax excluded)"
"10名×12,000円","10 participants × 12,000 JPY"
"＝120,000円（税別）","= 120,000 JPY (tax excluded)"
集客実績30名,30 participants attracted
マジセミ倶楽部,Majisemi Club
集客枠,Attraction slots
10名,10 people
（月会費）,(Monthly membership fee)
毎月10名分追加,10 participants added monthly
"10名×@12,000円","10 participants × @12,000 JPY"
20名分無料特典を利用,Use free benefit of 20 participants
20名,20 people
マジセミ倶楽部 初回20名分無料特典,Majisemi Club Initial 20 People Free Benefit
１月,January
２月,February
３月,March
４月,April
会費ご請求額,Membership Fee Billing Amount
12万円,"120,000 yen"
集客枠追加,Additional attendance slots
+10名,+10 people
キャンペーンによる,Campaign-Based
集客枠追加（無料）,Additional attendance slots (free)
+20名,+20 people
集客枠残,Remaining Attendance Slots
マジセミ倶楽部をご契約いただき、初回のご開催時に本特典をご利用いただけます。,"By contracting Majisemi Club, you can use this benefit at the time of your first event."
いつでも解約できます。1回で解約した場合でも、ビジターよりお得です。,"You can cancel at any time. Even if you cancel after one session, it is more advantageous than being a visitor."
特典を利用した開催のイメージ,Image of hosting using special offers
初回のみの開催で、3月末の解約（申告は2月末）の場合、,"If hosting only once for the first time and canceling at the end of March (notification by the end of February),"
会費12万円×3ヶ月分のみご請求。,"Only the membership fee of 120,000 yen x 3 months will be charged."
いつでも集客枠を追加購入,You can purchase additional audience slots at any time
（@1万円でお得）することで、,"(at a cost-effective 10,000 yen each) to"
追加でウェビナーを開催可能,allowing additional webinars to be hosted
初回20名分無料,First 20 participants free
すぐに30名定員の,Immediately host a webinar for up to 30 participants
ウェビナー開催可能,Webinar hosting available
ヒアリング,Hearing
この機会に、マジセミをスタートしましょう！,Take this opportunity to start with Majisemi!
マジセミをご利用いただいているクライアント企業様からは,Clients using Majisemi have shared feedback such as
といった声をいただいています。,We have received comments like these.
そしてほとんどのクライアント企業様が、繰り返しマジセミでセミナーを開催しています。,And most client companies repeatedly host seminars with Majisemi.
しかし、以下の不安があると思います。,"However, you might have the following concerns."
スタッフ（アテンダント・キャスト）の対応が素晴らしく、,"The staff (attendants and cast) were excellent,"
セミナー開催が“楽”になりました,making it easier to host seminars.
認知度が上がり、Webからの,"Awareness has increased, and inquiries from the web"
問い合わせも増えました,have also increased.
集客もいいし、,"The audience turnout is good,"
商談に繋がっています,and it leads to business negotiations.
そのようなお客様向けに,"For such customers,"
「マジセミ倶楽部加入時初回20名無料」キャンペーンをご用意しています。,we offer the 'Majisemi Club Membership First 20 Participants Free' campaign.
ぜひマジセミをお試し下さい！,Please try Majisemi!
「本当にターゲット企業が来るのだろうか？」,"""Will the target companies really attend?"""
「どのくらいオペレーションが楽になるのだろうか？」,"""How much easier will the operation become?"""
（ご参考）その他の情報,(For your reference) Other information
～後ほどご確認ください～,~Please check later~
専任の企画担当が、タイトル・告知文を作成します！,A dedicated planning manager will create the title and announcement text!
IT知識を有したマジセミの企画専任担当者が、集客と商談化を実現するウェビナー企画を一緒に作り上げていきます。,A Majisemi planning specialist with IT knowledge will collaborate with you to create a webinar plan that achieves audience acquisition and business negotiations.
アテンダント（セミナー事務局）がウェビナー開催までサポートします！,Attendants (seminar secretariat) will support you until the webinar is hosted!
年間1000回のセミナー運営経験のあるアテンダントが、セミナー開催まで一緒に伴走致します。,"An attendant with experience in operating 1,000 seminars annually will accompany you up to the seminar."
お困りごとは気軽にご相談いただけます！,Feel free to consult us about any issues!
アテンダント,Attendant
（セミナー事務局）,(Seminar administration)
本申込,Final application
商材名・商材情報・ターゲット・ペインポイントを管理システムにご入力いただきます。,"You will enter the product name, product information, target, and pain points into the management system."
メールで,By email
ご確認,Confirmation
弊社にて,At our company
集客ページの,Attraction page
公開準備が,Preparation for publication
スタート！！,Starts!!
企画ミーティング,Planning meeting
オンラインで１時間ミーティングを行います。,A one-hour meeting will be held online.
事前情報を元に、詳細をすり合わせします。,Details will be adjusted based on prior information.
管理システムの承認ボタンを押していただき、企画が確定します。,Press the approval button in the management system to finalize the plan.
集客ページ公開,Launch of the event page
申込ページの作成,Create registration page
申込者対応,Handle registrants
"・お問い合わせ対応
・リマインド","・Respond to inquiries
・Send reminders"
・参加用URLの発行,・Issue participant URLs
STEP５,STEP 5
リハーサル,Rehearsal
"・当日の流れやご要望の確認
・ご講演者の接続環境確認
・ご準備状況の確認","・Confirm schedule and requests for the day
・Check speaker’s connection environment
・Confirm preparation status"
当日,On the day
・司会進行,・Moderation
・アンケート取得,・Collect surveys
キャスト,Cast
企画段階から専任担当がサポート,Dedicated support from the planning stage
企画段階の流れ,Planning stage flow
公開準備開始,Preparation for publication begins
約１時間ミーティングを行います。訴求軸のご提案を行いつつ、詳細のすり合わせを実施いたします。,Hold a meeting for about one hour. We will propose promotional points and refine details.
企画案ご提出,Submit proposal
企画案を作成後、企画担当よりメールで企画案をご提出いたします。,"After creating the proposal, the planning officer will email it to you."
事前準備,Preliminary preparation
あらかじめご共有いただくセミナーテーマについて企画担当が情報収集を行い、訴求軸の案を作成します。,The planning officer will gather information on the seminar theme shared in advance and create proposals for promotional points.
企画案作成,Create proposal
ミーティングですり合わせた内容を基に、企画担当がタイトル・告知文の案を作成します。,"Based on the details discussed in the meeting, the planning officer will draft titles and notification texts."
企画内容のご確認,Confirm proposal content
企画案の内容をご確認いただき、フィードバック事項がある場合は、ご共有ください。,Please review the proposal content and provide feedback if necessary.
企画確定,Finalize proposal
内容のご確認、フィードバックに対する修正が完了しましたら、管理システム上で承認ボタンを押していただき、企画が確定します。,"Once you review the content and the feedback revisions are complete, press the approval button in the management system to finalize the proposal."
配信ツール,Distribution tools
5枠からお選びいただけます,You can choose from 5 time slots
（平日のみ　※土日祝の開催はございません）,(Weekdays only *No events on weekends and holidays)
１０:００～1１:００,10:00-11:00
１1:００～1２:００,11:00-12:00
１３:００～1４:００,13:00-14:00
１４:００～1５:００,14:00-15:00
１５:００～1６:００,3:00 PM - 4:00 PM
2種類からお選びいただけます,You can choose from 2 types
※機能や配信品質の点から、Zoomをおすすめしています,*We recommend Zoom for its functionality and delivery quality
開催時間,Event time
セミナーの一般的な流れ,General flow of the seminar
開催の流れ,Flow of the event
開催当日のこと,On the day of the event
30～40分,30-40 minutes
10～１5分,10-15 minutes
受付開始,Registration starts
オープニング,Opening
（マジセミキャスト）,(Majisemi Cast)
ご講演,Presentation
質疑応答,Q&A
（マジセミキャストがナビゲート）,(Navigated by Majisemi Cast)
15分,15 minutes
5分,5 minutes
終了,End
投票,Poll
※月曜は、14：00の回、15：00の回のみとなります,"* On Mondays, only the 2:00 PM and 3:00 PM sessions are available"
※マジフォロの実施は1０:00、1１:00の回のみです,* Majifolo is only conducted at the 10:00 AM and 11:00 AM sessions
※製造業ターゲットのセミナーは、テーマ重複を避けるため、11時、13時とさせていただいております,"*For seminars targeting the manufacturing industry, to avoid theme overlap, they are scheduled at 11:00 AM and 1:00 PM"
1セミナー1時間が基本です,The basic duration for one seminar is 1 hour
※マジセミが司会を担当するセミナーについて、１時間以上の開催の場合は延長料金がかかります（15万円/時間）,"*For seminars hosted by Majisemi, an additional fee is charged for events longer than 1 hour (150,000 yen/hour)"
録画動画,Recorded video
"フル動画
提供/２次利用※","Full video
provided/secondary use*"
マジリード,Maji Lead
資料DL,Document download
見逃し配信,Missed session streaming
"サマリ動画
作成","Summary video
creation"
"フル動画
提供/無料※","Full video
provided/free*"
欠席者限定で後日配信,Distributed later exclusively to absentees
自社サイトやYouTubeにアップ,Uploaded to your own website or YouTube
自社サイトや,On your own website or
自社運営SNSへの掲載,Post on your company-managed social media
過去マジセミ開催動画を再放送,Rebroadcast past Majisemi event videos
当日登壇無しで手間なし開催,Effortless event without on-the-day presentation
マジセミ以外のウェビナーや、動画,Webinars or videos not hosted by Majisemi
ポータル、広告媒体で２次利用,Secondary use on portals and advertising media
majisemi.comに掲載し,Listed on majisemi.com
新規リードを獲得,Acquire new leads
マジセミ倶楽部特典,Majisemi Club Benefits
"ウェビナー
開催","Webinar
Hosting"
リードナーチャリング,Lead nurturing
ブランディング・新規リード獲得,Branding & new lead acquisition
ウェビナー開催時の,During webinar hosting
コンテンツを再利用して、,Reuse content to
"開催後も継続して
リードナーチャリング
新規リード獲得","Continue lead nurturing
and acquire new leads
even after hosting"
コンテンツの有効活用,Effective use of content
(ブログ)作成,Create (blog)
講演内容から記事を作成,Create articles from presentation content
自社サイトに登録、SEO対策にも,"Register on your own site, also for SEO measures"
"※トライアルでは無料・有料を問わずフル動画の提供を行っておりません。
ただし、本契約後はプランを問わず過去のご開催分を提供可能です。","※In the trial, we do not provide full videos regardless of free or paid. However, after the main contract, past sessions can be provided regardless of the plan."
※お申込者への配慮のため、開催2営業前以降に申込まれた方のご参加お断りはお受けできません。,"※To accommodate applicants, we cannot decline participation for those who apply within 2 business days before the event. "
　 確実に競合企業をお断りしたい等の場合には、申込締切日を3営業日前にご設定ください。,"If you want to ensure competitors are excluded, set the application deadline 3 business days prior."
基本プラン,Basic Plan
"1人申込あたり14,500円(税別)","14,500 yen per application (excluding tax)"
・ 都度開催、都度申込,"・On-demand events, on-demand applications"
・ 集客数による成果報酬型課金,・Performance-based billing based on number of attendees
・ 20人以上からの申込,・Applications from 20 people or more
　（請求は集客人数分のみ）, (Billing is only for the number of attendees)
※集客人数を正確に把握するため、弊社にてお申込みページを準備し、リストを貴社にご提供いたします。,"*To accurately track the number of attendees, we will prepare the application page and provide the list to your company."
※実際のご請求は、申込者数に対して上記最大人数までの成果報酬でご請求させていただきます。定員に達した場合、申込受付をストップ致します。,"*Billing will be based on the number of registrants up to the maximum specified above. Once capacity is reached, registration will be stopped."
※リストの納品は個人情報保護の観点から、セミナー主催者様に直接納品させていただきます。,"*Due to privacy protection considerations, the list will be delivered directly to the seminar organizer."
※セミナーの参加者だけではなく、欠席者（事前キャンセル、当日キャンセル）についても、ご請求対象となります。,"*In addition to participants, absentees (pre-cancellation, day-of cancellation) will also be billed."
※なるべく上限近く集客できるよう努力いたしますが、集客数を保証するものではありません。,"*While efforts will be made to achieve maximum capacity, attendance numbers are not guaranteed."
※セミナーのテーマや同時開催の他のイベントなどの影響により、全く集客できないケースもございます。,*There are cases where no attendees may be drawn due to the seminar theme or concurrent events.
単発でウェビナーを開催いただける完全成果報酬型のプランです。,This is a plan for holding one-time webinars on a fully performance-based fee.
どこまでお任せいただくか4つのタイプからお選びいただけます。,You can choose from four types of delegation levels.
20名からのお申し込みで承ります。,Accepted from applications of 20 people or more.
申込が10人しかなかった場合は、10人分のみのご請求となります。,"If there are only 10 applicants, you will only be billed for those 10 people."
商品名,Product name
内容,Details
数量,Quantity
単価（￥）,Unit price (¥)
金額（￥）,Amount (¥)
マジセミビジター,Majisemi Visitor
（20名））,(20 people)
ウェビナーの,Webinar
企画・集客・運営,"Planning, attracting, and managing"
ビジタープラン,Visitor plan
20名での参考プラン,Reference plan for 20 people
小計,Subtotal
消費税（１０％）,Consumption tax (10%)
合計（税込）,Total (inc. tax)
プラン詳細,Plan details
参考プラン,Reference plan
メニュー,Menu
LP設置,LP setup
司会,Moderator
他メディア,Other media
取込,Capture
URL送付,URL delivery
リマインド,Reminder
提供,Provision
事後,Post-event
アンケート,Survey
マジセミ,Majisemi
標準,Standard
他メディア掲載NG,No other media posting
企画・集客,Planning and attracting
－,-
集客・運営,Attracting and managing
集客のみ,Attracting only
運営,Managing
※定員に達した場合、申込受付をストップいたします。,"* If the capacity is reached, applications will be stopped."
※セミナーの参加者だけではなく、欠席者（事前キャンセル、当日キャンセル）についても、集客人数のカウント対象となります。,* Count includes both participants and absentees (cancellations before or on the day).
※契約は自動的に1か月更新され、その後も同様になります。,* Contract automatically renews monthly and continues on the same terms.
※退会時、余っている集客枠のご返金はできません。また、退会後1年間はマジセミ倶楽部にご入会いただけません。,* No refunds for unused slots upon withdrawal. Re-enrollment in Majisemi Club is prohibited for 1 year after withdrawal.
※退会の際は、退会月の前月の月末までにメールにてご連絡ください。,"* For withdrawal, please notify by email by the end of the month prior to the withdrawal month."
※特典は変更される可能性があります。,* Benefits may change.
マジセミ倶楽部は、繰り返しウェビナーを開催する中でPDCAを回し、より良いウェビナーを創っていく会員制のサービスです。入会には審査があります。,Majisemi Club is a membership service to improve webinars through PDCA in repeated webinars. Admission is subject to approval.
マジセミ倶楽部の場合は、企画＋集客＋司会＋運営のワンストップサービスでのご提供となります。集客のみ、などのご支援はできません。,"For Majisemi Club, we offer a one-stop service for planning, attracting, hosting, and managing. We do not support attracting only."
またセミナーの内容（企画）について「製品紹介」ではなく「課題解決型セミナー」とさせていただきます。製品紹介はプレゼンの後半で行っていただきます。セミナーの内容はマジセミの企画メンバーと相談の上決定させていただきます。貴社の希望するテーマで開催できないことがあります。貴社にてテーマを決定したい場合は、ビジターをご利用ください。,"Also, the seminar content (planning) should be ""problem-solving type seminar"" instead of ""product presentation."" Product presentations should be conducted in the latter half of the presentation. The seminar content will be decided in consultation with the Majisemi planning members. We may not be able to hold it on the theme your company wants. If you want to decide the theme yourself, please use the visitor option."
なお、前述のマジセミ倶楽部の主旨を鑑み、契約開始から１年以内の解約の場合、ペナルティを設定させていただいております。ご了承ください。（ビジターの料金との差額をご請求いたします）,"In consideration of the purpose of Majisemi Club, if you cancel within one year of contract start, a penalty will be imposed. Please note. (You will be charged the difference with the visitor fee.)"
　月会費　12万円（税別）※ライトプラン時　10名分集客枠を含む,"Monthly fee ¥120,000 (excl. tax) *Light plan includes slots for 10 people."
