Japanese,English
その他のオプション　※詳細は個別にご相談ください,Other options *Please consult with us for details
名称,Name
料金（税別）,Price (excluding tax)
内容,Content
（セミナー後のフォロー代行）,(Post-seminar follow-up)
"@3,500円×集客人数","@3,500 JPY × number of attendees"
マジセミのフォロー専門スタッフが、セミナー終了直後に参加者、欠席者に対して、メール、電話でフォローします。,Majisemi's dedicated follow-up staff will follow up with participants and absentees via email and phone immediately after the seminar ends.
5万円,"50,000 JPY"
"セミナーの講演内容から、SEOを意識した3,000字程度の記事を作成します。貴社のWebサイトに掲載することで、コンテンツマーケティングを促進します。","We will create an article of approximately 3,000 characters with SEO in mind based on the seminar content. By publishing it on your website, you can promote content marketing."
フル動画提供/有料,Full video provision/paid
20万円,"200,000 JPY"
セミナー動画をご提供させていただき、２次利用していただくためのオプションです。,This option provides you with the seminar video for secondary use.
※一定の利用制限内であれば無料でご提供いたします。トライアル時は、有料、無料ともご提供はありません。,"*Provided free of charge within certain usage limits. During the trial, both paid and free options are not available."
サマリ動画作成,Summary video creation
セミナー動画をYoutube等に掲載する場合、長時間の動画は嫌われる傾向があります。このため5～10分程度に編集してご提供いたします。,"When posting seminar videos on YouTube, long videos tend to be disliked. Therefore, we will edit and provide videos of about 5 to 10 minutes."
見逃し配信,Missed session streaming
セミナー申込者の内、当日欠席された方に対して、当日の動画を視聴していただきます。,"For those who registered for the seminar but were absent on the day, we will allow them to view the day's video."
再放送,Rebroadcast
"@14,500円/10,000円","@14,500 JPY/10,000 JPY"
過去マジセミで開催した録画を使って、手間なく追加のウェビナーを開催します。,Host additional webinars effortlessly using recordings from past Majisemi events.
２ステップウェビナー,Two-step webinar
２０万円,"200,000 JPY"
過去に貴社のウェビナーにお申し込みいただいた方（貴社の見込み客）に対して、より商談（アポ）につながるテーマ（他社比較、製品紹介、デモなど）を企画し、開催します。,"We will plan and host themes that lead to more business discussions (appointments) for those who have previously registered for your webinars (your prospective customers), such as competitor comparisons, product introductions, demos, etc."
運営支援（運営代行）,Operational support (operation outsourcing)
貴社セミナーの運営を代行します。申込みページの作成、申込者の管理、Zoomの貸出、当日の司会進行、など一連の作業を代行します。（集客は含まれません。貴社にて集客していただきます。）,"We will manage your seminar operations on your behalf. This includes creating the registration page, managing registrants, providing Zoom, and moderating on the day. (Attracting attendees is not included. You will need to handle that.)"
マジセミ代表 寺田による,By Majisemi representative Terada
貴社セミナーでのプレゼン,Presentation at your seminar
30万円～,"From 300,000 JPY"
※30分～1時間程度,*Approximately 30 minutes to 1 hour
マジセミ代表 寺田が、貴社セミナーでのプレゼンや対談、パネルディスカッションのファシリテーターを行います。テーマはご相談ください。,"Majisemi representative Terada will facilitate presentations, discussions, and panel discussions at your seminar. Please consult with us regarding the theme."
“エバンジェリストAI”デジタル寺田による基調講演代行,"""Evangelist AI"" Digital Terada keynote speech substitute"
10万円,"100,000 JPY"
生成AIを活用した“エバンジェリストAI”デジタル寺田が、貴社のウェビナーで基調講演を行います。,"""Evangelist AI"" Digital Terada, utilizing generative AI, will deliver a keynote speech at your webinar."
・セミナーで講演するが、講演原稿・スライドを作成する時間がない,- Want to give a seminar presentation but don't have time to create the script and slides
・プレゼンが上手な社員がいない（又は忙しい）ため、プレゼンまで含めて代行してほしい,"- No skilled presenters among employees (or they are too busy), so want to outsource the presentation as well"
SEO動画作成,SEO video creation
1本5万円～,"From 50,000 JPY per video"
※10本単位、初期費用別,"*In units of 10, excluding initial costs"
Youtubeの検索や、Googleの動画検索で上位表示を狙うための施策です。マジセミが貴社専用のAIアバターを作成、用語解説の動画コンテンツを作成します。原稿も納品、ブログ活用も可能です。,"This is a strategy to aim for high rankings in YouTube and Google video searches. Majisemi will create a dedicated AI avatar for your company and produce video content explaining terms. Scripts will also be delivered, and blog use is possible."
製品比較動画作成,Product comparison video creation
50万円～,"From 500,000 JPY"
※初期費用別,*Excluding initial costs
貴社の製品の強みを強力に認知させるための競合製品比較動画を作成します。マジセミが貴社専用のAIアバターを作成、製品比較動画コンテンツを作成します。ウェビナーでの配信も可能です。,We will create a competitive product comparison video to strongly recognize the strengths of your product. Majisemi will create a dedicated AI avatar for your company and produce product comparison video content. Distribution via webinars is also possible.
注意事項,Notes
 割増料金,Additional charges
 キャンセル料金,Cancellation fees
全てのサービスにおいて、マジカン（マジセミ管理画面）から「本申込」をしていただいた後、又は発注書・申込書を受領した後にキャンセルされた場合、100%のキャンセル料金が発生します。,"For all services, if you cancel after making a ""formal application"" from Majikan (Majisemi management screen) or after receiving an order form/application form, a 100% cancellation fee will apply."
但し、ウェビナー開催については、ビジターは20名分のキャンセル料金、マジセミ倶楽部においては30名分の集客枠の消費を上限とします。,"However, for webinar hosting, the cancellation fee is capped at 20 attendees for visitors and 30 attendee slots for Majisemi Club."
マジフォロについては、ビジターの場合は20名分、マジセミ倶楽部の場合は30名分のキャンセル料金を上限とします。,"For Majifolo, the cancellation fee is capped at 20 attendees for visitors and 30 attendees for Majisemi Club."
ウェビナー開催において、タイトル、告知文などの調整が遅れて、ウェビナーの公開が開催日の１０営業日前の17時までに行えなかった場合、キャンセルの扱いとし上記キャンセル料金をご請求いたします。,"If the title, announcement text, etc., are delayed and the webinar cannot be published by 5 PM, 10 business days before the event date, it will be treated as a cancellation, and the above cancellation fee will be charged."
マジセミ倶楽部の退会時、集客枠残について返金できません。,No refunds for remaining attendee slots upon withdrawal from Majisemi Club.
マジセミ倶楽部の主旨を鑑み、マジセミ倶楽部の契約開始から１年以内の解約の場合、ペナルティを設定させていただいております。ご了承ください。（ビジターの料金との差額をご請求いたします）,"Considering the purpose of Majisemi Club, a penalty will be set for cancellations within one year of the contract start with Majisemi Club. Please understand. (The difference from visitor fees will be charged.)"
開催4週間前を過ぎての発注は、料金が割り増しになります。,Orders placed less than 4 weeks before the event will incur a surcharge.
単価（税別）,Unit price (excluding tax)
上限指定,Upper limit specification
基本料金,Basic fee
（開催4週間前以前の発注）,(Order placed more than 4 weeks before the event)
"14,500円","14,500 JPY"
20名以上,More than 20 people
開催4週間前を過ぎての発注,Order placed less than 4 weeks before the event
×1.25倍 割増,1.25x surcharge
開催3週間前を過ぎての発注,Order placed less than 3 weeks before the event
×2倍 割増,2x surcharge
開催4週間前の本申込みが間に合わない場合、割増料金の設定はございませんが、ご相談の上開催を延期させていただきます。,"If the final application cannot be submitted 4 weeks before the event, there is no surcharge, but we will discuss postponing the event."
マジセミ倶楽部各種,Various Majisemi Club
マジセミビジター,Majisemi Visitor
■基本的には6週間前から打ち合わせし、開催4週間前に本申込みいただくスケジュール感となります。,"■ Generally, meetings start 6 weeks in advance, with the final application submitted 4 weeks before the event."
