Japanese,English
マジセミが過去参加者に対して長期フォローを実施し、,マジセミが過去参加者に対して長期フォローを実施し、
アポ獲得を代行する「マジフォロプラス」も提供しています。,アポ獲得を代行する「マジフォロプラス」も提供しています。
当日の講演に,当日の講演に
集中できる！,集中できる！
ワンストップサービスで,ワンストップサービスで
最初から最後まで,最初から最後まで
マジセミが代行、だから,マジセミが代行、だから
マジセミをご利用いただくべき理由,マジセミをご利用いただくべき理由
貴社のウェビナー運営を代行,貴社のウェビナー運営を代行
SEO記事作成,SEO記事作成
動画作成,動画作成
（オプション）,（オプション）
司会進行,司会進行
アンケート集計,アンケート集計
レポート作成,レポート作成
アポ獲得,アポ獲得
(オプション）,(オプション）
集客,集客
セミナー,セミナー
事務局,事務局
企画,企画
集客費用のみで,集客費用のみで
全ての支援がついてきます！,全ての支援がついてきます！
振り返り＆,振り返り＆
改善,改善
PDCAを繰り返し、勝ちパターンを探索,PDCAを繰り返し、勝ちパターンを探索
マジセミ集客枠,マジセミ集客枠
集客ページ作成・公開,集客ページ作成・公開
貴社集客枠,貴社集客枠
公開後,公開後
URLを,URLを
お渡し,お渡し
マジセミで集客,マジセミで集客
貴社ハウスリスト・HP等でご集客,貴社ハウスリスト・HP等でご集客
マジセミ枠,マジセミ枠
申込者データ,申込者データ
マジセミ管理画面,マジセミ管理画面
※お断り対象者・キャンセル待ち申込者は除く,※お断り対象者・キャンセル待ち申込者は除く
貴社集客枠への,貴社集客枠への
お申し込みは,お申し込みは
何名でも課金対象外！,何名でも課金対象外！
貴社がすでにお持ちの,貴社がすでにお持ちの
ハウスリストのナーチャリング、,ハウスリストのナーチャリング、
休眠顧客の掘り起こし、,休眠顧客の掘り起こし、
HP等での新規リード獲得に,HP等での新規リード獲得に
ぜひご活用ください！,ぜひご活用ください！
企画FIX,企画FIX
参加用URL配信,参加用URL配信
1週間前＆前日リマインド配信,1週間前＆前日リマインド配信
貴社へ全リード納品,貴社へ全リード納品
マジセミ集客枠のミラーサイトで、,マジセミ集客枠のミラーサイトで、
貴社専用の集客サイトURLを作成致します。,貴社専用の集客サイトURLを作成致します。
１回のウェビナーで  新規リード獲得  と、  既存リードのナーチャリング  を同時に行うことが可能,１回のウェビナーで  新規リード獲得  と、  既存リードのナーチャリング  を同時に行うことが可能
ウェビナー成功事例,ウェビナー成功事例
（事例１）「テーマを変更し、120名以上の集客を実現」＜C社＞,（事例１）「テーマを変更し、120名以上の集客を実現」＜C社＞
■お客様の課題,■お客様の課題
　・サーバ／インフラ系サービスを中心に販売されている、SIer様,　・サーバ／インフラ系サービスを中心に販売されている、SIer様
　・自社でウェビナーを開催しているが集客できない,　・自社でウェビナーを開催しているが集客できない
　・メディアに集客を依頼しても、集客できなかった,　・メディアに集客を依頼しても、集客できなかった
■ご利用いただいたプラン,■ご利用いただいたプラン
　・ビジター（その後、マジセミ倶楽部へ移行）,　・ビジター（その後、マジセミ倶楽部へ移行）
■マジセミでの対応,■マジセミでの対応
"　・年間1000回のウェビナー開催の中での集客傾向ノウハウや、
　「トレンド分析ツール」な　を活用し、
　「集客できる企画」をマジセミ側で立案、ご提案","　・年間1000回のウェビナー開催の中での集客傾向ノウハウや、
　「トレンド分析ツール」な　を活用し、
　「集客できる企画」をマジセミ側で立案、ご提案"
■結果,■結果
　・120名以上の集客実現,　・120名以上の集客実現
本日の打ち合わせの目的,本日の打ち合わせの目的
はじめて「マジセミ」をご検討される企業のために、以下のような内容についてお話させていただきます。,はじめて「マジセミ」をご検討される企業のために、以下のような内容についてお話させていただきます。
マーケティングにおける課題のヒアリング,マーケティングにおける課題のヒアリング
どのようにマジセミをご活用いただくのか？,どのようにマジセミをご活用いただくのか？
（事例2）「テーマを模索しながら50%以上のアポを獲得」＜T社＞,（事例2）「テーマを模索しながら50%以上のアポを獲得」＜T社＞
　・ツールベンダー様,　・ツールベンダー様
　・展示会等中心のマーケティングを実施していたが、商談化に苦戦,　・展示会等中心のマーケティングを実施していたが、商談化に苦戦
"　・繰り返しウェビナーを開催しながら、「ある程度集客もでき、かつ、商談につながる
　　テーマ」を模索。","　・繰り返しウェビナーを開催しながら、「ある程度集客もでき、かつ、商談につながる
　　テーマ」を模索。"
　・毎回30名程度の集客をしつつ、商談化率を10%→20%→50%と改善,　・毎回30名程度の集客をしつつ、商談化率を10%→20%→50%と改善
　・登壇者が自ら、ウェビナー後のフォローを実施,　・登壇者が自ら、ウェビナー後のフォローを実施
（事例3）「オンラインに変更し、20%のアポを獲得」＜Z社＞,（事例3）「オンラインに変更し、20%のアポを獲得」＜Z社＞
　・パッケージ製品・SaaSを開発・販売されているグローバルIT企業,　・パッケージ製品・SaaSを開発・販売されているグローバルIT企業
　・オフラインセミナーを開催しているが、集客、出席率で苦戦,　・オフラインセミナーを開催しているが、集客、出席率で苦戦
　・商談にもつながらない,　・商談にもつながらない
　・ビジター,　・ビジター
　・オンライン（ウェビナー）のご提案,　・オンライン（ウェビナー）のご提案
　・「商談につながるセミナー企画」を実施,　・「商談につながるセミナー企画」を実施
　・30人申込み→6件アポを実現,　・30人申込み→6件アポを実現
（事例4）「フォロー代行で１５％以上のアポを獲得」＜I社＞,（事例4）「フォロー代行で１５％以上のアポを獲得」＜I社＞
　・自社製品も開発しているインフラ系ITベンチャー企業,　・自社製品も開発しているインフラ系ITベンチャー企業
　・何回かウェビナーを開催し、集客は好調だったが、商談につながらない,　・何回かウェビナーを開催し、集客は好調だったが、商談につながらない
　・担当者が多忙で、ウェビナー後に十分な営業フォローができていない,　・担当者が多忙で、ウェビナー後に十分な営業フォローができていない
　・ウェビナー終了直後から架電するフォロー代行サービス「マジフォロ」を実施,　・ウェビナー終了直後から架電するフォロー代行サービス「マジフォロ」を実施
　・50人申込み→8件アポを実現,　・50人申込み→8件アポを実現
（事例5）「AIがプレゼンし、20%のアポを獲得」＜A社＞,（事例5）「AIがプレゼンし、20%のアポを獲得」＜A社＞
　・外資系SaaSベンダー,　・外資系SaaSベンダー
　・毎回集客は目標達成しているが、商談につながらない,　・毎回集客は目標達成しているが、商談につながらない
　・講演資料やプレゼン内容にも課題がある,　・講演資料やプレゼン内容にも課題がある
　・マジセミ倶楽部,　・マジセミ倶楽部
　・生成AIによる講演原稿作成と、AIデジタルヒューマンによるプレゼン代行を実施,　・生成AIによる講演原稿作成と、AIデジタルヒューマンによるプレゼン代行を実施
　・20人申込み→4件アポを実現,　・20人申込み→4件アポを実現
プランと料金について,プランと料金について
プランの比較,プランの比較
おすすめ,おすすめ
ビジター,ビジター
マジセミ倶楽部 ライト,マジセミ倶楽部 ライト
マジセミ倶楽部 商談保証,マジセミ倶楽部 商談保証
こんな方におすすめ！,こんな方におすすめ！
ウェビナー開催予定が,ウェビナー開催予定が
1年で1～2回程度,1年で1～2回程度
年間4回以上ウェビナー開催予定,年間4回以上ウェビナー開催予定
リード単価を抑えたい,リード単価を抑えたい
集客ではなく商談（アポ）を,集客ではなく商談（アポ）を
保証してほしい,保証してほしい
リード単価比較,リード単価比較
"14,500円","14,500円"
"12,000円（毎月10名）","12,000円（毎月10名）"
"10,000円（追加集客時）","10,000円（追加集客時）"
"20,000円（3ヶ月30名）","20,000円（3ヶ月30名）"
"13,500円（追加集客時）","13,500円（追加集客時）"
過去申込者重複課金対象外,過去申込者重複課金対象外
※詳細は各プランの説明を参照,※詳細は各プランの説明を参照
なし,なし
あり,あり
商談（アポ）保証,商談（アポ）保証
契約期間,契約期間
1回ごと,1回ごと
1ヶ月ごと,1ヶ月ごと
（自動更新）,（自動更新）
3ヶ月ごと,3ヶ月ごと
ウェビナーコンテンツ活用,ウェビナーコンテンツ活用
リードフォロー・提案・受注,リードフォロー・提案・受注
　ウェビナー開催,　ウェビナー開催
基本プラン以外に気になったサービスはございますか？,基本プラン以外に気になったサービスはございますか？
ウェビナー開催,ウェビナー開催
(ビジター orマジセミ倶楽部),(ビジター orマジセミ倶楽部)
"貴社
インサイドセールス","貴社
インサイドセールス"
"または
フィールドセールス","または
フィールドセールス"
営業代行,営業代行
(提案・受注),(提案・受注)
(マジ営業),(マジ営業)
"ウェビナー
直後のフォロー","ウェビナー
直後のフォロー"
(マジフォロ),(マジフォロ)
貴社保有リード,貴社保有リード
（課金対象外）,（課金対象外）
見逃し,見逃し
配信,配信
SEO記事,SEO記事
作成,作成
フル動画,フル動画
提供/無料,提供/無料
再放送,再放送
2ステップ,2ステップ
ウェビナー,ウェビナー
展示会,展示会
共同出展,共同出展
講演原稿・資料,講演原稿・資料
作成代行,作成代行
AIによる講演代行,AIによる講演代行
サマリ,サマリ
提供/２次利用,提供/２次利用
枠限定,枠限定
先着順,先着順
多くの企業が,多くの企業が
活用されます,活用されます
新サービス,新サービス
SEO動画作成,SEO動画作成
マジセミ倶楽部か？ビジターか？,マジセミ倶楽部か？ビジターか？
ご請求,ご請求
"30名×14,500円","30名×14,500円"
"=435,000円（税別）","=435,000円（税別）"
"10名×12,000円","10名×12,000円"
"＝120,000円（税別）","＝120,000円（税別）"
集客実績30名,集客実績30名
マジセミ倶楽部,マジセミ倶楽部
集客枠,集客枠
10名,10名
（月会費）,（月会費）
毎月10名分追加,毎月10名分追加
"10名×@12,000円","10名×@12,000円"
20名分無料特典を利用,20名分無料特典を利用
20名,20名
マジセミ倶楽部 初回20名分無料特典,マジセミ倶楽部 初回20名分無料特典
１月,１月
２月,２月
３月,３月
４月,４月
会費ご請求額,会費ご請求額
12万円,12万円
集客枠追加,集客枠追加
+10名,+10名
キャンペーンによる,キャンペーンによる
集客枠追加（無料）,集客枠追加（無料）
+20名,+20名
集客枠残,集客枠残
マジセミ倶楽部をご契約いただき、初回のご開催時に本特典をご利用いただけます。,マジセミ倶楽部をご契約いただき、初回のご開催時に本特典をご利用いただけます。
いつでも解約できます。1回で解約した場合でも、ビジターよりお得です。,いつでも解約できます。1回で解約した場合でも、ビジターよりお得です。
特典を利用した開催のイメージ,特典を利用した開催のイメージ
初回のみの開催で、3月末の解約（申告は2月末）の場合、,初回のみの開催で、3月末の解約（申告は2月末）の場合、
会費12万円×3ヶ月分のみご請求。,会費12万円×3ヶ月分のみご請求。
いつでも集客枠を追加購入,いつでも集客枠を追加購入
（@1万円でお得）することで、,（@1万円でお得）することで、
追加でウェビナーを開催可能,追加でウェビナーを開催可能
初回20名分無料,初回20名分無料
すぐに30名定員の,すぐに30名定員の
ウェビナー開催可能,ウェビナー開催可能
ヒアリング,ヒアリング
この機会に、マジセミをスタートしましょう！,この機会に、マジセミをスタートしましょう！
マジセミをご利用いただいているクライアント企業様からは,マジセミをご利用いただいているクライアント企業様からは
といった声をいただいています。,といった声をいただいています。
そしてほとんどのクライアント企業様が、繰り返しマジセミでセミナーを開催しています。,そしてほとんどのクライアント企業様が、繰り返しマジセミでセミナーを開催しています。
しかし、以下の不安があると思います。,しかし、以下の不安があると思います。
スタッフ（アテンダント・キャスト）の対応が素晴らしく、,スタッフ（アテンダント・キャスト）の対応が素晴らしく、
セミナー開催が“楽”になりました,セミナー開催が“楽”になりました
認知度が上がり、Webからの,認知度が上がり、Webからの
問い合わせも増えました,問い合わせも増えました
集客もいいし、,集客もいいし、
商談に繋がっています,商談に繋がっています
そのようなお客様向けに,そのようなお客様向けに
「マジセミ倶楽部加入時初回20名無料」キャンペーンをご用意しています。,「マジセミ倶楽部加入時初回20名無料」キャンペーンをご用意しています。
ぜひマジセミをお試し下さい！,ぜひマジセミをお試し下さい！
「本当にターゲット企業が来るのだろうか？」,「本当にターゲット企業が来るのだろうか？」
「どのくらいオペレーションが楽になるのだろうか？」,「どのくらいオペレーションが楽になるのだろうか？」
（ご参考）その他の情報,（ご参考）その他の情報
～後ほどご確認ください～,～後ほどご確認ください～
専任の企画担当が、タイトル・告知文を作成します！,専任の企画担当が、タイトル・告知文を作成します！
IT知識を有したマジセミの企画専任担当者が、集客と商談化を実現するウェビナー企画を一緒に作り上げていきます。,IT知識を有したマジセミの企画専任担当者が、集客と商談化を実現するウェビナー企画を一緒に作り上げていきます。
アテンダント（セミナー事務局）がウェビナー開催までサポートします！,アテンダント（セミナー事務局）がウェビナー開催までサポートします！
年間1000回のセミナー運営経験のあるアテンダントが、セミナー開催まで一緒に伴走致します。,年間1000回のセミナー運営経験のあるアテンダントが、セミナー開催まで一緒に伴走致します。
お困りごとは気軽にご相談いただけます！,お困りごとは気軽にご相談いただけます！
アテンダント,アテンダント
（セミナー事務局）,（セミナー事務局）
本申込,本申込
商材名・商材情報・ターゲット・ペインポイントを管理システムにご入力いただきます。,商材名・商材情報・ターゲット・ペインポイントを管理システムにご入力いただきます。
メールで,メールで
ご確認,ご確認
弊社にて,弊社にて
集客ページの,集客ページの
公開準備が,公開準備が
スタート！！,スタート！！
企画ミーティング,企画ミーティング
オンラインで１時間ミーティングを行います。,オンラインで１時間ミーティングを行います。
事前情報を元に、詳細をすり合わせします。,事前情報を元に、詳細をすり合わせします。
管理システムの承認ボタンを押していただき、企画が確定します。,管理システムの承認ボタンを押していただき、企画が確定します。
集客ページ公開,集客ページ公開
申込ページの作成,申込ページの作成
申込者対応,申込者対応
"・お問い合わせ対応
・リマインド","・お問い合わせ対応
・リマインド"
・参加用URLの発行,・参加用URLの発行
STEP５,STEP５
リハーサル,リハーサル
"・当日の流れやご要望の確認
・ご講演者の接続環境確認
・ご準備状況の確認","・当日の流れやご要望の確認
・ご講演者の接続環境確認
・ご準備状況の確認"
当日,当日
・司会進行,・司会進行
・アンケート取得,・アンケート取得
キャスト,キャスト
企画段階から専任担当がサポート,企画段階から専任担当がサポート
企画段階の流れ,企画段階の流れ
公開準備開始,公開準備開始
約１時間ミーティングを行います。訴求軸のご提案を行いつつ、詳細のすり合わせを実施いたします。,約１時間ミーティングを行います。訴求軸のご提案を行いつつ、詳細のすり合わせを実施いたします。
企画案ご提出,企画案ご提出
企画案を作成後、企画担当よりメールで企画案をご提出いたします。,企画案を作成後、企画担当よりメールで企画案をご提出いたします。
事前準備,事前準備
あらかじめご共有いただくセミナーテーマについて企画担当が情報収集を行い、訴求軸の案を作成します。,あらかじめご共有いただくセミナーテーマについて企画担当が情報収集を行い、訴求軸の案を作成します。
企画案作成,企画案作成
ミーティングですり合わせた内容を基に、企画担当がタイトル・告知文の案を作成します。,ミーティングですり合わせた内容を基に、企画担当がタイトル・告知文の案を作成します。
企画内容のご確認,企画内容のご確認
企画案の内容をご確認いただき、フィードバック事項がある場合は、ご共有ください。,企画案の内容をご確認いただき、フィードバック事項がある場合は、ご共有ください。
企画確定,企画確定
内容のご確認、フィードバックに対する修正が完了しましたら、管理システム上で承認ボタンを押していただき、企画が確定します。,内容のご確認、フィードバックに対する修正が完了しましたら、管理システム上で承認ボタンを押していただき、企画が確定します。
配信ツール,配信ツール
5枠からお選びいただけます,5枠からお選びいただけます
（平日のみ　※土日祝の開催はございません）,（平日のみ　※土日祝の開催はございません）
１０:００～1１:００,１０:００～1１:００
１1:００～1２:００,１1:００～1２:００
１３:００～1４:００,１３:００～1４:００
１４:００～1５:００,１４:００～1５:００
１５:００～1６:００,１５:００～1６:００
2種類からお選びいただけます,2種類からお選びいただけます
※機能や配信品質の点から、Zoomをおすすめしています,※機能や配信品質の点から、Zoomをおすすめしています
開催時間,開催時間
セミナーの一般的な流れ,セミナーの一般的な流れ
開催の流れ,開催の流れ
開催当日のこと,開催当日のこと
30～40分,30～40分
10～１5分,10～１5分
受付開始,受付開始
オープニング,オープニング
（マジセミキャスト）,（マジセミキャスト）
ご講演,ご講演
質疑応答,質疑応答
（マジセミキャストがナビゲート）,（マジセミキャストがナビゲート）
15分,15分
5分,5分
終了,終了
投票,投票
※月曜は、14：00の回、15：00の回のみとなります,※月曜は、14：00の回、15：00の回のみとなります
※マジフォロの実施は1０:00、1１:00の回のみです,※マジフォロの実施は1０:00、1１:00の回のみです
※製造業ターゲットのセミナーは、テーマ重複を避けるため、11時、13時とさせていただいております,※製造業ターゲットのセミナーは、テーマ重複を避けるため、11時、13時とさせていただいております
1セミナー1時間が基本です,1セミナー1時間が基本です
※マジセミが司会を担当するセミナーについて、１時間以上の開催の場合は延長料金がかかります（15万円/時間）,※マジセミが司会を担当するセミナーについて、１時間以上の開催の場合は延長料金がかかります（15万円/時間）
録画動画,録画動画
"フル動画
提供/２次利用※","フル動画
提供/２次利用※"
マジリード,マジリード
資料DL,資料DL
見逃し配信,見逃し配信
"サマリ動画
作成","サマリ動画
作成"
"フル動画
提供/無料※","フル動画
提供/無料※"
欠席者限定で後日配信,欠席者限定で後日配信
自社サイトやYouTubeにアップ,自社サイトやYouTubeにアップ
自社サイトや,自社サイトや
自社運営SNSへの掲載,自社運営SNSへの掲載
過去マジセミ開催動画を再放送,過去マジセミ開催動画を再放送
当日登壇無しで手間なし開催,当日登壇無しで手間なし開催
マジセミ以外のウェビナーや、動画,マジセミ以外のウェビナーや、動画
ポータル、広告媒体で２次利用,ポータル、広告媒体で２次利用
majisemi.comに掲載し,majisemi.comに掲載し
新規リードを獲得,新規リードを獲得
マジセミ倶楽部特典,マジセミ倶楽部特典
"ウェビナー
開催","ウェビナー
開催"
リードナーチャリング,リードナーチャリング
ブランディング・新規リード獲得,ブランディング・新規リード獲得
ウェビナー開催時の,ウェビナー開催時の
コンテンツを再利用して、,コンテンツを再利用して、
"開催後も継続して
リードナーチャリング
新規リード獲得","開催後も継続して
リードナーチャリング
新規リード獲得"
コンテンツの有効活用,コンテンツの有効活用
(ブログ)作成,(ブログ)作成
講演内容から記事を作成,講演内容から記事を作成
自社サイトに登録、SEO対策にも,自社サイトに登録、SEO対策にも
"※トライアルでは無料・有料を問わずフル動画の提供を行っておりません。
ただし、本契約後はプランを問わず過去のご開催分を提供可能です。","※トライアルでは無料・有料を問わずフル動画の提供を行っておりません。
ただし、本契約後はプランを問わず過去のご開催分を提供可能です。"
※お申込者への配慮のため、開催2営業前以降に申込まれた方のご参加お断りはお受けできません。,※お申込者への配慮のため、開催2営業前以降に申込まれた方のご参加お断りはお受けできません。
　 確実に競合企業をお断りしたい等の場合には、申込締切日を3営業日前にご設定ください。,　 確実に競合企業をお断りしたい等の場合には、申込締切日を3営業日前にご設定ください。
基本プラン,基本プラン
"1人申込あたり14,500円(税別)","1人申込あたり14,500円(税別)"
・ 都度開催、都度申込,・ 都度開催、都度申込
・ 集客数による成果報酬型課金,・ 集客数による成果報酬型課金
・ 20人以上からの申込,・ 20人以上からの申込
　（請求は集客人数分のみ）,　（請求は集客人数分のみ）
※集客人数を正確に把握するため、弊社にてお申込みページを準備し、リストを貴社にご提供いたします。,※集客人数を正確に把握するため、弊社にてお申込みページを準備し、リストを貴社にご提供いたします。
※実際のご請求は、申込者数に対して上記最大人数までの成果報酬でご請求させていただきます。定員に達した場合、申込受付をストップ致します。,※実際のご請求は、申込者数に対して上記最大人数までの成果報酬でご請求させていただきます。定員に達した場合、申込受付をストップ致します。
※リストの納品は個人情報保護の観点から、セミナー主催者様に直接納品させていただきます。,※リストの納品は個人情報保護の観点から、セミナー主催者様に直接納品させていただきます。
※セミナーの参加者だけではなく、欠席者（事前キャンセル、当日キャンセル）についても、ご請求対象となります。,※セミナーの参加者だけではなく、欠席者（事前キャンセル、当日キャンセル）についても、ご請求対象となります。
※なるべく上限近く集客できるよう努力いたしますが、集客数を保証するものではありません。,※なるべく上限近く集客できるよう努力いたしますが、集客数を保証するものではありません。
※セミナーのテーマや同時開催の他のイベントなどの影響により、全く集客できないケースもございます。,※セミナーのテーマや同時開催の他のイベントなどの影響により、全く集客できないケースもございます。
単発でウェビナーを開催いただける完全成果報酬型のプランです。,単発でウェビナーを開催いただける完全成果報酬型のプランです。
どこまでお任せいただくか4つのタイプからお選びいただけます。,どこまでお任せいただくか4つのタイプからお選びいただけます。
20名からのお申し込みで承ります。,20名からのお申し込みで承ります。
申込が10人しかなかった場合は、10人分のみのご請求となります。,申込が10人しかなかった場合は、10人分のみのご請求となります。
商品名,商品名
内容,内容
数量,数量
単価（￥）,単価（￥）
金額（￥）,金額（￥）
マジセミビジター,マジセミビジター
（20名））,（20名））
ウェビナーの,ウェビナーの
企画・集客・運営,企画・集客・運営
ビジタープラン,ビジタープラン
20名での参考プラン,20名での参考プラン
小計,小計
消費税（１０％）,消費税（１０％）
合計（税込）,合計（税込）
プラン詳細,プラン詳細
参考プラン,参考プラン
メニュー,メニュー
LP設置,LP設置
司会,司会
他メディア,他メディア
取込,取込
URL送付,URL送付
リマインド,リマインド
提供,提供
事後,事後
アンケート,アンケート
マジセミ,マジセミ
標準,標準
他メディア掲載NG,他メディア掲載NG
企画・集客,企画・集客
－,－
集客・運営,集客・運営
集客のみ,集客のみ
運営,運営
※定員に達した場合、申込受付をストップいたします。,※定員に達した場合、申込受付をストップいたします。
※セミナーの参加者だけではなく、欠席者（事前キャンセル、当日キャンセル）についても、集客人数のカウント対象となります。,※セミナーの参加者だけではなく、欠席者（事前キャンセル、当日キャンセル）についても、集客人数のカウント対象となります。
※契約は自動的に1か月更新され、その後も同様になります。,※契約は自動的に1か月更新され、その後も同様になります。
※退会時、余っている集客枠のご返金はできません。また、退会後1年間はマジセミ倶楽部にご入会いただけません。,※退会時、余っている集客枠のご返金はできません。また、退会後1年間はマジセミ倶楽部にご入会いただけません。
※退会の際は、退会月の前月の月末までにメールにてご連絡ください。,※退会の際は、退会月の前月の月末までにメールにてご連絡ください。
※特典は変更される可能性があります。,※特典は変更される可能性があります。
マジセミ倶楽部は、繰り返しウェビナーを開催する中でPDCAを回し、より良いウェビナーを創っていく会員制のサービスです。入会には審査があります。,マジセミ倶楽部は、繰り返しウェビナーを開催する中でPDCAを回し、より良いウェビナーを創っていく会員制のサービスです。入会には審査があります。
マジセミ倶楽部の場合は、企画＋集客＋司会＋運営のワンストップサービスでのご提供となります。集客のみ、などのご支援はできません。,マジセミ倶楽部の場合は、企画＋集客＋司会＋運営のワンストップサービスでのご提供となります。集客のみ、などのご支援はできません。
