Japanese,English
企画,Planning
集客費用のみで,All support included
全ての支援がついてきます！,with only the cost of attracting attendees!
振り返り＆,Review &
改善,Improvement
PDCAを繰り返し、勝ちパターンを探索,Repeat PDCA to explore winning patterns
マジセミ集客枠,Majisemi attendee slots
集客ページ作成・公開,Create and publish attendee page
貴社集客枠,Your attendee slots
公開後,After publication
URLを,URL
お渡し,will be provided
マジセミで集客,Attract customers with Majisemi
貴社ハウスリスト・HP等でご集客,"Attract customers through your company's house list, website, etc."
マジセミ枠,Majisemi slot
申込者データ,Applicant data
マジセミ管理画面,Majisemi management screen
※お断り対象者・キャンセル待ち申込者は除く,*Excludes declined applicants and those on the waiting list
貴社集客枠への,To your company's customer acquisition slot
お申し込みは,Applications are
何名でも課金対象外！,not charged regardless of the number of people!
貴社がすでにお持ちの,For nurturing your existing
ハウスリストのナーチャリング、,"house list,"
休眠顧客の掘り起こし、,"reviving dormant customers,"
HP等での新規リード獲得に,"and acquiring new leads through your website, etc.,"
ぜひご活用ください！,please make full use of it!
企画FIX,Plan finalized
参加用URL配信,Participation URL distribution
1週間前＆前日リマインド配信,1-week and day-before reminder distribution
貴社へ全リード納品,Deliver all leads to your company
マジセミ集客枠のミラーサイトで、,"On the mirror site of the Majisemi customer acquisition slot,"
貴社専用の集客サイトURLを作成致します。,we will create a dedicated customer acquisition site URL for your company.
１回のウェビナーで  新規リード獲得  と、  既存リードのナーチャリング  を同時に行うことが可能,"In a single webinar, it is possible to acquire new leads and nurture existing leads simultaneously"
ウェビナー成功事例,Successful webinar case studies
（事例１）「テーマを変更し、120名以上の集客を実現」＜C社＞,"(Case 1) ""Changed the theme and achieved over 120 attendees"" <Company C>"
■お客様の課題,■ Customer challenges
　・サーバ／インフラ系サービスを中心に販売されている、SIer様,・SIer focusing on selling server/infrastructure services
　・自社でウェビナーを開催しているが集客できない,・Hosting webinars in-house but unable to attract attendees
　・メディアに集客を依頼しても、集客できなかった,"・Even when requesting media for customer acquisition, unable to attract attendees"
■ご利用いただいたプラン,■ Plan utilized
　・ビジター（その後、マジセミ倶楽部へ移行）,・Visitor (later transitioned to Majisemi Club)
■マジセミでの対応,■ Majisemi's response
"　・年間1000回のウェビナー開催の中での集客傾向ノウハウや、
　「トレンド分析ツール」な　を活用し、
　「集客できる企画」をマジセミ側で立案、ご提案","・Utilized know-how from hosting 1,000 webinars annually and tools like ""trend analysis tools"" to propose ""attractive plans"" from Majisemi"
■結果,■ Result
　・120名以上の集客実現,・Achieved over 120 attendees
本日の打ち合わせの目的,Purpose of today's meeting
はじめて「マジセミ」をご検討される企業のために、以下のような内容についてお話させていただきます。,"For companies considering ""Majisemi"" for the first time, we will discuss the following topics."
マーケティングにおける課題のヒアリング,Hearing about marketing challenges
どのようにマジセミをご活用いただくのか？,How to utilize Majisemi?
（事例2）「テーマを模索しながら50%以上のアポを獲得」＜T社＞,"(Case 2) ""Explored themes and achieved over 50% appointment acquisition"" <Company T>"
　・ツールベンダー様,・Tool vendor
　・展示会等中心のマーケティングを実施していたが、商談化に苦戦,"・Focused on marketing through exhibitions, but struggled to convert to business discussions"
"　・繰り返しウェビナーを開催しながら、「ある程度集客もでき、かつ、商談につながる
　　テーマ」を模索。","・While repeatedly holding webinars, explore ""themes that can attract a certain level of audience and lead to business discussions."""
　・毎回30名程度の集客をしつつ、商談化率を10%→20%→50%と改善,"・Attracting around 30 participants each time, improving the conversion rate from 10%→20%→50%"
　・登壇者が自ら、ウェビナー後のフォローを実施,・Presenters themselves conduct follow-ups after the webinar
（事例3）「オンラインに変更し、20%のアポを獲得」＜Z社＞,"(Case Study 3) ""Switched to online and acquired 20% appointments"" <Company Z>"
　・パッケージ製品・SaaSを開発・販売されているグローバルIT企業,・A global IT company developing and selling packaged products and SaaS
　・オフラインセミナーを開催しているが、集客、出席率で苦戦,・Struggling with attracting attendees and attendance rates for offline seminars
　・商談にもつながらない,・Not leading to business discussions
　・ビジター,・Visitor
　・オンライン（ウェビナー）のご提案,・Proposal for online (webinar)
　・「商談につながるセミナー企画」を実施,"・Implemented ""seminar planning that leads to business discussions"""
　・30人申込み→6件アポを実現,・30 registrations → achieved 6 appointments
（事例4）「フォロー代行で１５％以上のアポを獲得」＜I社＞,"(Case Study 4) ""Acquired over 15% appointments with follow-up outsourcing"" <Company I>"
　・自社製品も開発しているインフラ系ITベンチャー企業,・An IT venture company in the infrastructure sector also developing its own products
　・何回かウェビナーを開催し、集客は好調だったが、商談につながらない,"・Held several webinars with successful audience attraction, but not leading to business discussions"
　・担当者が多忙で、ウェビナー後に十分な営業フォローができていない,・Staff are too busy to conduct sufficient sales follow-ups after webinars
　・ウェビナー終了直後から架電するフォロー代行サービス「マジフォロ」を実施,"・Implemented the follow-up outsourcing service ""Majifolo"" which makes calls immediately after the webinar ends"
　・50人申込み→8件アポを実現,・50 registrations → achieved 8 appointments
（事例5）「AIがプレゼンし、20%のアポを獲得」＜A社＞,"(Case Study 5) ""AI presented and acquired 20% appointments"" <Company A>"
　・外資系SaaSベンダー,・Foreign SaaS vendor
　・毎回集客は目標達成しているが、商談につながらない,"・Achieving target audience numbers each time, but not leading to business discussions"
　・講演資料やプレゼン内容にも課題がある,・Issues with presentation materials and content
　・マジセミ倶楽部,・Majisemi Club
　・生成AIによる講演原稿作成と、AIデジタルヒューマンによるプレゼン代行を実施,・Implemented script creation by generative AI and presentation outsourcing by AI digital human
　・20人申込み→4件アポを実現,・20 registrations → achieved 4 appointments
プランと料金について,Plans and Pricing
プランの比較,Plan Comparison
おすすめ,Recommended
ビジター,Visitor
マジセミ倶楽部 ライト,Majisemi Club Light
マジセミ倶楽部 商談保証,Majisemi Club Business Discussion Guarantee
こんな方におすすめ！,Recommended for these individuals!
ウェビナー開催予定が,Planning to hold webinars
1年で1～2回程度,1 to 2 times a year
年間4回以上ウェビナー開催予定,Planning to hold webinars 4 times or more annually
リード単価を抑えたい,Want to reduce cost per lead
集客ではなく商談（アポ）を,Want business discussions (appointments) instead of just audience attraction
保証してほしい,Want a guarantee
リード単価比較,Cost per lead comparison
"14,500円","14,500 yen"
"12,000円（毎月10名）","12,000 yen (10 people per month)"
"10,000円（追加集客時）","10,000 yen (for additional audience)"
"20,000円（3ヶ月30名）","20,000 yen (30 people over 3 months)"
"13,500円（追加集客時）","13,500 yen (for additional audience)"
過去申込者重複課金対象外,Not subject to duplicate charges for past applicants
※詳細は各プランの説明を参照,*See each plan description for details
なし,None
あり,Available
商談（アポ）保証,Meeting (appointment) guarantee
契約期間,Contract period
1回ごと,Per session
1ヶ月ごと,Monthly
（自動更新）,(Automatically renewed)
3ヶ月ごと,Every 3 months
ウェビナーコンテンツ活用,Utilization of webinar content
リードフォロー・提案・受注,"Lead follow-up, proposal, and order"
　ウェビナー開催,Webinar hosting
基本プラン以外に気になったサービスはございますか？,Are there any services other than the basic plan that interest you?
ウェビナー開催,Webinar hosting
(ビジター orマジセミ倶楽部),(Visitor or Majisemi Club)
"貴社
インサイドセールス","Your company's
inside sales"
"または
フィールドセールス","or
field sales"
営業代行,Sales outsourcing
(提案・受注),(Proposal and order)
(マジ営業),(Maji Sales)
"ウェビナー
直後のフォロー","Follow-up
immediately after the webinar"
(マジフォロ),(Maji Follow)
貴社保有リード,Your company's owned leads
（課金対象外）,(Not subject to charges)
見逃し,On-demand
配信,Broadcast
SEO記事,SEO article
作成,Creation
フル動画,Full video
提供/無料,Provided/Free
再放送,Rebroadcast
2ステップ,2-step
ウェビナー,Webinar
展示会,Exhibition
共同出展,Joint exhibition
講演原稿・資料,Presentation script/materials
作成代行,Creation agency
AIによる講演代行,AI-based presentation agency
サマリ,Summary
提供/２次利用,Provision/secondary use
枠限定,Limited slots
先着順,"First-come, first-served"
多くの企業が,Many companies
活用されます,Will be utilized
新サービス,New service
SEO動画作成,SEO video creation
マジセミ倶楽部か？ビジターか？,Majisemi Club or Visitor?
ご請求,Billing
"30名×14,500円","30 people × 14,500 yen"
"=435,000円（税別）","= 435,000 yen (excluding tax)"
"10名×12,000円","10 people × 12,000 yen"
"＝120,000円（税別）","= 120,000 yen (excluding tax)"
集客実績30名,30 attendees achieved
マジセミ倶楽部,Majisemi Club
集客枠,Attendance slots
10名,10 people
（月会費）,(Monthly fee)
毎月10名分追加,10 additional people each month
"10名×@12,000円","10 people × @12,000 yen"
20名分無料特典を利用,Use the 20-person free bonus
20名,20 people
マジセミ倶楽部 初回20名分無料特典,Majisemi Club initial 20-person free bonus
１月,January
２月,February
３月,March
４月,April
会費ご請求額,Membership fee billing amount
12万円,"120,000 yen"
集客枠追加,Additional attendance slots
+10名,+10 people
キャンペーンによる,Campaign-based
集客枠追加（無料）,Additional attendance slots (free)
+20名,+20 people
集客枠残,Remaining attendance slots
マジセミ倶楽部をご契約いただき、初回のご開催時に本特典をご利用いただけます。,"By signing up for Majisemi Club, you can use this bonus at your first event."
いつでも解約できます。1回で解約した場合でも、ビジターよりお得です。,"You can cancel anytime. Even if you cancel after one session, it's more economical than being a visitor."
特典を利用した開催のイメージ,Image of hosting using special offers
初回のみの開催で、3月末の解約（申告は2月末）の場合、,"If hosting only once for the first time and canceling at the end of March (notification by the end of February),"
会費12万円×3ヶ月分のみご請求。,"Only the membership fee of 120,000 yen x 3 months will be charged."
いつでも集客枠を追加購入,You can purchase additional audience slots at any time
（@1万円でお得）することで、,"(at a great price of 10,000 yen each)"
追加でウェビナーを開催可能,to host additional webinars
初回20名分無料,First 20 participants free
すぐに30名定員の,Immediately host a webinar for up to 30 participants
ウェビナー開催可能,Webinar hosting possible
ヒアリング,Hearing
この機会に、マジセミをスタートしましょう！,Take this opportunity to start with Majisemi!
マジセミをご利用いただいているクライアント企業様からは,Clients using Majisemi have shared feedback such as
といった声をいただいています。,We have received comments like these.
そしてほとんどのクライアント企業様が、繰り返しマジセミでセミナーを開催しています。,And most client companies repeatedly host seminars with Majisemi.
しかし、以下の不安があると思います。,"However, you may have the following concerns."
スタッフ（アテンダント・キャスト）の対応が素晴らしく、,"The staff (attendants and cast) are excellent,"
セミナー開催が“楽”になりました,making it easier to host seminars.
認知度が上がり、Webからの,"Awareness has increased, and inquiries from the web"
問い合わせも増えました,have also increased.
集客もいいし、,"The audience is good,"
商談に繋がっています,and it leads to business negotiations.
そのようなお客様向けに,"For such customers,"
「マジセミ倶楽部加入時初回20名無料」キャンペーンをご用意しています。,we offer the 'Majisemi Club Membership First 20 Participants Free' campaign.
ぜひマジセミをお試し下さい！,Please try Majisemi!
「本当にターゲット企業が来るのだろうか？」,"""Will the target companies really attend?"""
「どのくらいオペレーションが楽になるのだろうか？」,"""How much easier will the operation become?"""
（ご参考）その他の情報,(For your reference) Other information
～後ほどご確認ください～,~Please check later~
専任の企画担当が、タイトル・告知文を作成します！,A dedicated planner will create the title and announcement text!
IT知識を有したマジセミの企画専任担当者が、集客と商談化を実現するウェビナー企画を一緒に作り上げていきます。,A Majisemi planner with IT knowledge will work with you to create a webinar plan that achieves audience acquisition and business negotiation.
アテンダント（セミナー事務局）がウェビナー開催までサポートします！,Attendants (seminar office) will support you until the webinar is hosted!
年間1000回のセミナー運営経験のあるアテンダントが、セミナー開催まで一緒に伴走致します。,"Attendants with experience in operating 1,000 seminars annually will accompany you until the seminar is hosted."
お困りごとは気軽にご相談いただけます！,Feel free to consult us about any issues!
アテンダント,Attendant
（セミナー事務局）,(Seminar office)
本申込,Formal application
商材名・商材情報・ターゲット・ペインポイントを管理システムにご入力いただきます。,"Please enter product name, product information, target, and pain points into the management system."
メールで,By email
ご確認,Confirmation
弊社にて,At our company
集客ページの,Preparation for publishing the
公開準備が,attraction page has
スタート！！,started!!
企画ミーティング,Planning meeting
オンラインで１時間ミーティングを行います。,Conduct a one-hour meeting online.
事前情報を元に、詳細をすり合わせします。,Align details based on preliminary information.
管理システムの承認ボタンを押していただき、企画が確定します。,Press the approval button in the management system to finalize the plan.
集客ページ公開,Attraction page publication
申込ページの作成,Create application page
申込者対応,Handle applicants
"・お問い合わせ対応
・リマインド","・Respond to inquiries
・Send reminders"
・参加用URLの発行,・Issue participation URL
STEP５,STEP 5
リハーサル,Rehearsal
"・当日の流れやご要望の確認
・ご講演者の接続環境確認
・ご準備状況の確認","・Confirm the flow and requests for the day
・Check the speaker's connection environment
・Confirm preparation status"
当日,On the day
・司会進行,・Moderation
・アンケート取得,・Collect surveys
キャスト,Cast
企画段階から専任担当がサポート,Dedicated support from the planning stage
企画段階の流れ,Flow of the planning stage
公開準備開始,Start preparation for publication
約１時間ミーティングを行います。訴求軸のご提案を行いつつ、詳細のすり合わせを実施いたします。,Conduct a meeting for about one hour. Propose appeal points and align details.
企画案ご提出,Submit planning proposal
企画案を作成後、企画担当よりメールで企画案をご提出いたします。,"After creating the proposal, the planning manager will submit it via email."
事前準備,Preliminary preparation
あらかじめご共有いただくセミナーテーマについて企画担当が情報収集を行い、訴求軸の案を作成します。,The planning manager will gather information on the seminar theme you share in advance and create appeal point proposals.
企画案作成,Create planning proposal
ミーティングですり合わせた内容を基に、企画担当がタイトル・告知文の案を作成します。,"Based on the content aligned in the meeting, the planning manager will create title and announcement text proposals."
企画内容のご確認,Confirm planning content
企画案の内容をご確認いただき、フィードバック事項がある場合は、ご共有ください。,Please review the planning proposal content and share any feedback you may have.
企画確定,Finalize planning
内容のご確認、フィードバックに対する修正が完了しましたら、管理システム上で承認ボタンを押していただき、企画が確定します。,"Once the content review and feedback revisions are complete, press the approval button in the management system to finalize the plan."
配信ツール,Distribution tools
5枠からお選びいただけます,Choose from 5 slots
（平日のみ　※土日祝の開催はございません）,(Weekdays only *No events on weekends or holidays)
１０:００～1１:００,10:00-11:00
１1:００～1２:００,11:00-12:00
１３:００～1４:００,13:00-14:00
１４:００～1５:００,14:00-15:00
１５:００～1６:００,3:00 PM - 4:00 PM
2種類からお選びいただけます,You can choose from 2 types
※機能や配信品質の点から、Zoomをおすすめしています,*We recommend Zoom for its features and delivery quality
開催時間,Event time
セミナーの一般的な流れ,General flow of the seminar
開催の流れ,Flow of the event
開催当日のこと,On the day of the event
30～40分,30-40 minutes
10～１5分,10-15 minutes
受付開始,Registration begins
オープニング,Opening
（マジセミキャスト）,(Majisemi Cast)
ご講演,Lecture
質疑応答,Q&A
（マジセミキャストがナビゲート）,(Navigated by Majisemi Cast)
15分,15 minutes
5分,5 minutes
終了,End
投票,Poll
※月曜は、14：00の回、15：00の回のみとなります,"*On Mondays, only the 2:00 PM and 3:00 PM sessions are available"
※マジフォロの実施は1０:00、1１:00の回のみです,*Majifolo is only conducted at the 10:00 AM and 11:00 AM sessions
※製造業ターゲットのセミナーは、テーマ重複を避けるため、11時、13時とさせていただいております,"*For seminars targeting the manufacturing industry, to avoid theme overlap, they are scheduled at 11:00 AM and 1:00 PM"
1セミナー1時間が基本です,The basic duration for one seminar is 1 hour
※マジセミが司会を担当するセミナーについて、１時間以上の開催の場合は延長料金がかかります（15万円/時間）,"*For seminars hosted by Majisemi, an additional fee applies for events longer than 1 hour (150,000 yen/hour)"
録画動画,Recorded video
"フル動画
提供/２次利用※","Full video
provided/secondary use*"
マジリード,Majilead
資料DL,Document download
見逃し配信,Missed session replay
"サマリ動画
作成","Summary video
creation"
"フル動画
提供/無料※","Full video
provided/free*"
欠席者限定で後日配信,Distributed later exclusively to absentees
自社サイトやYouTubeにアップ,Upload to your own website or YouTube
自社サイトや,On your own website or
自社運営SNSへの掲載,Post on your own managed SNS
過去マジセミ開催動画を再放送,Rebroadcast past Majisemi event videos
当日登壇無しで手間なし開催,Effortless event without live presentation
マジセミ以外のウェビナーや、動画,Webinars or videos other than Majisemi
ポータル、広告媒体で２次利用,Secondary use on portals and advertising media
majisemi.comに掲載し,Listed on majisemi.com
新規リードを獲得,Acquire new leads
マジセミ倶楽部特典,Majisemi Club Benefits
"ウェビナー
開催","Webinar
Hosting"
リードナーチャリング,Lead nurturing
ブランディング・新規リード獲得,Branding & new lead acquisition
ウェビナー開催時の,During webinar hosting
コンテンツを再利用して、,Reuse content to
"開催後も継続して
リードナーチャリング
新規リード獲得","Continue lead nurturing
and new lead acquisition
after hosting"
コンテンツの有効活用,Effective use of content
(ブログ)作成,Create (blog)
講演内容から記事を作成,Create articles from presentation content
自社サイトに登録、SEO対策にも,"Register on your website, also for SEO measures"
"※トライアルでは無料・有料を問わずフル動画の提供を行っておりません。
ただし、本契約後はプランを問わず過去のご開催分を提供可能です。","※Full videos are not provided during the trial, whether free or paid. However, after the contract, past sessions can be provided regardless of the plan."
※お申込者への配慮のため、開催2営業前以降に申込まれた方のご参加お断りはお受けできません。,"※To accommodate applicants, we cannot decline participation for those who apply within 2 business days before the event. "
　 確実に競合企業をお断りしたい等の場合には、申込締切日を3営業日前にご設定ください。,"　 If you want to ensure competitors are declined, please set the application deadline 3 business days in advance."
基本プラン,Basic Plan
"1人申込あたり14,500円(税別)","14,500 yen per application (excluding tax)"
・ 都度開催、都度申込,・ Hosted and applied for each time
・ 集客数による成果報酬型課金,・ Performance-based billing according to the number of attendees
・ 20人以上からの申込,・ Applications from 20 people or more
　（請求は集客人数分のみ）,　 (Billing is only for the number of attendees)
※集客人数を正確に把握するため、弊社にてお申込みページを準備し、リストを貴社にご提供いたします。,"※To accurately track the number of attendees, we will prepare the application page and provide the list to your company."
※実際のご請求は、申込者数に対して上記最大人数までの成果報酬でご請求させていただきます。定員に達した場合、申込受付をストップ致します。,"※Actual billing will be based on the number of applicants up to the maximum number above. If capacity is reached, application acceptance will stop."
※リストの納品は個人情報保護の観点から、セミナー主催者様に直接納品させていただきます。,"※For privacy protection, the list will be delivered directly to the seminar organizer."
※セミナーの参加者だけではなく、欠席者（事前キャンセル、当日キャンセル）についても、ご請求対象となります。,"※Billing includes not only participants but also absentees (pre-cancellations, day-of cancellations)."
※なるべく上限近く集客できるよう努力いたしますが、集客数を保証するものではありません。,"※We will strive to attract as close to the maximum as possible, but attendance is not guaranteed."
※セミナーのテーマや同時開催の他のイベントなどの影響により、全く集客できないケースもございます。,"※Depending on the seminar theme or other concurrent events, there may be cases with no attendance."
単発でウェビナーを開催いただける完全成果報酬型のプランです。,This is a fully performance-based plan for hosting a one-time webinar.
どこまでお任せいただくか4つのタイプからお選びいただけます。,You can choose from four types depending on how much you want to delegate.
20名からのお申し込みで承ります。,We accept applications from 20 people.
申込が10人しかなかった場合は、10人分のみのご請求となります。,"If there are only 10 applicants, you will be billed for only 10 people."
商品名,Product Name
内容,Content
数量,Quantity
単価（￥）,Unit Price (¥)
金額（￥）,Amount (¥)
マジセミビジター,Majisemi Visitor
（20名））,(20 people)
ウェビナーの,Webinar
企画・集客・運営,"Planning, attracting attendees, and operation"
ビジタープラン,Visitor Plan
20名での参考プラン,Reference Plan for 20 People
小計,Subtotal
消費税（１０％）,Consumption Tax (10%)
合計（税込）,Total (Including Tax)
プラン詳細,Plan Details
参考プラン,Reference Plan
メニュー,Menu
LP設置,LP Setup
司会,Moderator
他メディア,Other Media
取込,Import
URL送付,URL Delivery
リマインド,Reminder
提供,Provision
事後,Post-event
アンケート,Survey
マジセミ,Majisemi
標準,Standard
他メディア掲載NG,No Other Media Posting
企画・集客,Planning & Customer Acquisition
－,-
集客・運営,Customer Acquisition & Management
集客のみ,Customer Acquisition Only
運営,Management
※定員に達した場合、申込受付をストップいたします。,"※ If the capacity is reached, we will stop accepting applications."
※セミナーの参加者だけではなく、欠席者（事前キャンセル、当日キャンセル）についても、集客人数のカウント対象となります。,※ Not only participants but also absentees (cancellations before and on the day) are counted towards the number of attendees.
※契約は自動的に1か月更新され、その後も同様になります。,"※ The contract is automatically renewed monthly, and will continue in the same manner thereafter."
※退会時、余っている集客枠のご返金はできません。また、退会後1年間はマジセミ倶楽部にご入会いただけません。,"※ Upon withdrawal, we cannot refund any remaining customer acquisition slots. Additionally, you cannot rejoin the Majisemi Club for one year after withdrawal."
※退会の際は、退会月の前月の月末までにメールにてご連絡ください。,"※ To withdraw, please contact us via email by the end of the month prior to the withdrawal month."
※特典は変更される可能性があります。,※ Benefits are subject to change.
マジセミ倶楽部は、繰り返しウェビナーを開催する中でPDCAを回し、より良いウェビナーを創っていく会員制のサービスです。入会には審査があります。,"Majisemi Club is a membership service that continuously holds webinars, implementing the PDCA cycle to create better webinars. Admission is subject to screening."
マジセミ倶楽部の場合は、企画＋集客＋司会＋運営のワンストップサービスでのご提供となります。集客のみ、などのご支援はできません。,"For Majisemi Club, we provide a one-stop service including planning, customer acquisition, moderation, and management. We cannot support only customer acquisition, etc."
またセミナーの内容（企画）について「製品紹介」ではなく「課題解決型セミナー」とさせていただきます。製品紹介はプレゼンの後半で行っていただきます。セミナーの内容はマジセミの企画メンバーと相談の上決定させていただきます。貴社の希望するテーマで開催できないことがあります。貴社にてテーマを決定したい場合は、ビジターをご利用ください。,"Furthermore, the seminar content (planning) will be a ""problem-solving seminar"" rather than a ""product introduction."" The product introduction will be conducted in the latter part of the presentation. The seminar content will be decided in consultation with the Majisemi planning members. It may not be possible to hold a seminar on your desired theme. If you wish to decide the theme yourself, please use the Visitor option."
なお、前述のマジセミ倶楽部の主旨を鑑み、契約開始から１年以内の解約の場合、ペナルティを設定させていただいております。ご了承ください。（ビジターの料金との差額をご請求いたします）,"Please note that considering the purpose of the aforementioned Majisemi Club, a penalty will be set for cancellations within one year of contract commencement. (We will charge the difference from the Visitor fee)"
　月会費　12万円（税別）※ライトプラン時　10名分集客枠を含む,"Monthly Fee: 120,000 yen (excluding tax) ※ Light Plan includes 10 customer acquisition slots"
　追加集客枠 @1万円（税別）,"Additional Customer Acquisition Slot @10,000 yen (excluding tax)"
１ヶ月毎の自動更新,Automatic renewal every month
１ヶ月ごとに10名の集客枠を追加,Add 10 customer acquisition slots each month
ウェビナーの最低定員は30名,The minimum capacity for webinars is 30 people
